Building,Pref. Weight,Label,Gross Load (kWh),Net Import (kWh),Cost (€),% Cost Red. vs Baseline,ΔCost vs Weight=0 (€),% ΔCost vs Weight=0,PV Used (kWh),PAR (net import)
DE_KN_industrial3,0.0,No Preference,2146.145,1689.573,37.105,0.0,0.0,0.0,456.572,1.471
DE_KN_industrial3,5.0,Low Preference,2146.145,1689.573,37.105,0.0,0.0,0.0,456.572,1.471
DE_KN_industrial3,15.0,Medium Preference,2146.145,1689.573,37.105,0.0,0.0,0.0,456.572,1.471
DE_KN_industrial3,25.0,High Preference,2146.145,1689.573,37.105,0.0,0.0,0.0,456.572,1.471
DE_KN_residential1,0.0,No Preference,545.414,544.457,18.728,0.0,0.0,0.0,0.957,3.208
DE_KN_residential1,5.0,Low Preference,545.414,544.457,18.728,0.0,0.0,0.0,0.957,3.208
DE_KN_residential1,15.0,Medium Preference,545.414,544.457,18.728,0.0,0.0,0.0,0.957,3.208
DE_KN_residential1,25.0,High Preference,545.414,544.457,18.728,0.0,0.0,0.0,0.957,3.208
DE_KN_residential2,0.0,No Preference,40.361,40.361,1.388,0.0,0.0,0.0,0.0,5.004
DE_KN_residential2,5.0,Low Preference,40.361,40.361,1.388,0.0,0.0,0.0,0.0,5.004
DE_KN_residential2,15.0,Medium Preference,40.361,40.361,1.388,0.0,0.0,0.0,0.0,5.004
DE_KN_residential2,25.0,High Preference,40.361,40.361,1.388,0.0,0.0,0.0,0.0,5.004
DE_KN_residential3,0.0,No Preference,74.354,57.771,1.462,0.0,0.0,0.0,16.583,4.329
DE_KN_residential3,5.0,Low Preference,74.354,57.771,1.462,0.0,0.0,0.0,16.583,4.329
DE_KN_residential3,15.0,Medium Preference,74.354,57.771,1.462,0.0,0.0,0.0,16.583,4.329
DE_KN_residential3,25.0,High Preference,74.354,57.771,1.462,0.0,0.0,0.0,16.583,4.329
DE_KN_residential4,0.0,No Preference,330.143,322.023,11.078,0.0,0.0,0.0,8.12,2.092
DE_KN_residential4,5.0,Low Preference,330.143,322.023,11.078,0.0,0.0,0.0,8.12,2.092
DE_KN_residential4,15.0,Medium Preference,330.143,322.023,11.078,0.0,0.0,0.0,8.12,2.092
DE_KN_residential4,25.0,High Preference,330.143,322.023,11.078,0.0,0.0,0.0,8.12,2.092
DE_KN_residential5,0.0,No Preference,23.756,23.756,0.856,0.0,0.0,0.0,0.0,6.986
DE_KN_residential5,5.0,Low Preference,23.756,23.756,0.856,0.0,0.0,0.0,0.0,6.986
DE_KN_residential5,15.0,Medium Preference,23.756,23.756,0.856,0.0,0.0,0.0,0.0,6.986
DE_KN_residential5,25.0,High Preference,23.756,23.756,0.856,0.0,0.0,0.0,0.0,6.986
DE_KN_residential6,0.0,No Preference,23.093,13.896,-2.736,,0.0,0.0,9.197,7.642
DE_KN_residential6,5.0,Low Preference,23.093,13.896,-2.736,,0.0,0.0,9.197,7.642
DE_KN_residential6,15.0,Medium Preference,23.093,13.896,-2.736,,0.0,0.0,9.197,7.642
DE_KN_residential6,25.0,High Preference,23.093,13.896,-2.736,,0.0,0.0,9.197,7.642
