Day,Building,Pref. Weight,Label,Cost (€),Δ€ vs w=0,%Δ vs w=0,Total Consumption (kWh),Avg Peak Hour
2015-04-02,DE_KN_residential2,0.0,Pure Cost,0.1,0.0,0.0,2.25,7.0
2015-04-02,DE_KN_residential2,0.005,Tiny Pref,0.103,0.003,2.9,2.25,6.8
2015-04-02,DE_KN_residential2,0.01,Small Pref,0.103,0.003,2.9,2.25,6.8
2015-04-02,DE_KN_residential2,0.02,Low Pref,0.112,0.011,11.2,2.25,7.0
2015-04-02,DE_KN_residential2,0.025,Medium Pref,0.113,0.012,12.3,2.25,9.2
2015-04-02,DE_KN_residential2,0.035,High Pref,0.113,0.012,12.3,2.25,9.2
2015-04-02,DE_KN_residential2,0.045,Very High Pref,0.113,0.012,12.3,2.25,9.2
2015-04-02,DE_KN_residential2,0.05,Max Pref,0.113,0.012,12.3,2.25,9.2
2015-04-03,DE_KN_residential2,0.0,Pure Cost,0.148,0.0,0.0,2.25,9.2
2015-04-03,DE_KN_residential2,0.005,Tiny Pref,0.153,0.004,2.9,2.25,6.2
2015-04-03,DE_KN_residential2,0.01,Small Pref,0.153,0.004,2.9,2.25,6.2
2015-04-03,DE_KN_residential2,0.02,Low Pref,0.153,0.004,2.9,2.25,6.2
2015-04-03,DE_KN_residential2,0.025,Medium Pref,0.153,0.004,2.9,2.25,6.2
2015-04-03,DE_KN_residential2,0.035,High Pref,0.154,0.006,3.8,2.25,9.2
2015-04-03,DE_KN_residential2,0.045,Very High Pref,0.154,0.006,3.8,2.25,9.2
2015-04-03,DE_KN_residential2,0.05,Max Pref,0.154,0.006,3.8,2.25,9.2
2015-04-04,DE_KN_residential2,0.0,Pure Cost,0.12,0.0,0.0,2.25,9.0
2015-04-04,DE_KN_residential2,0.005,Tiny Pref,0.12,-0.0,-0.3,2.25,7.5
2015-04-04,DE_KN_residential2,0.01,Small Pref,0.125,0.004,3.5,2.25,9.2
2015-04-04,DE_KN_residential2,0.02,Low Pref,0.125,0.004,3.5,2.25,9.2
2015-04-04,DE_KN_residential2,0.025,Medium Pref,0.125,0.004,3.5,2.25,9.2
2015-04-04,DE_KN_residential2,0.035,High Pref,0.125,0.004,3.5,2.25,9.2
2015-04-04,DE_KN_residential2,0.045,Very High Pref,0.125,0.004,3.5,2.25,9.2
2015-04-04,DE_KN_residential2,0.05,Max Pref,0.125,0.004,3.5,2.25,9.2
2015-04-05,DE_KN_residential2,0.0,Pure Cost,0.109,0.0,0.0,2.25,7.0
2015-04-05,DE_KN_residential2,0.005,Tiny Pref,0.11,0.002,1.7,2.25,9.0
2015-04-05,DE_KN_residential2,0.01,Small Pref,0.114,0.006,5.1,2.25,9.2
2015-04-05,DE_KN_residential2,0.02,Low Pref,0.114,0.006,5.1,2.25,9.2
2015-04-05,DE_KN_residential2,0.025,Medium Pref,0.114,0.006,5.1,2.25,9.2
2015-04-05,DE_KN_residential2,0.035,High Pref,0.114,0.006,5.1,2.25,9.2
2015-04-05,DE_KN_residential2,0.045,Very High Pref,0.114,0.006,5.1,2.25,9.2
2015-04-05,DE_KN_residential2,0.05,Max Pref,0.114,0.006,5.1,2.25,9.2
2015-04-06,DE_KN_residential2,0.0,Pure Cost,0.159,0.0,0.0,2.25,8.0
2015-04-06,DE_KN_residential2,0.005,Tiny Pref,0.168,0.009,5.7,2.25,6.2
2015-04-06,DE_KN_residential2,0.01,Small Pref,0.168,0.009,5.7,2.25,6.2
2015-04-06,DE_KN_residential2,0.02,Low Pref,0.168,0.009,5.7,2.25,6.2
2015-04-06,DE_KN_residential2,0.025,Medium Pref,0.168,0.009,5.7,2.25,6.2
2015-04-06,DE_KN_residential2,0.035,High Pref,0.169,0.01,6.4,2.25,9.2
2015-04-06,DE_KN_residential2,0.045,Very High Pref,0.169,0.01,6.4,2.25,9.2
2015-04-06,DE_KN_residential2,0.05,Max Pref,0.169,0.01,6.4,2.25,9.2
2015-04-07,DE_KN_residential2,0.0,Pure Cost,0.134,0.0,0.0,2.25,8.2
2015-04-07,DE_KN_residential2,0.005,Tiny Pref,0.145,0.011,8.3,2.25,7.2
2015-04-07,DE_KN_residential2,0.01,Small Pref,0.145,0.011,8.3,2.25,7.2
2015-04-07,DE_KN_residential2,0.02,Low Pref,0.146,0.012,9.0,2.25,9.2
2015-04-07,DE_KN_residential2,0.025,Medium Pref,0.146,0.012,9.0,2.25,9.2
2015-04-07,DE_KN_residential2,0.035,High Pref,0.146,0.012,9.0,2.25,9.2
2015-04-07,DE_KN_residential2,0.045,Very High Pref,0.146,0.012,9.0,2.25,9.2
2015-04-07,DE_KN_residential2,0.05,Max Pref,0.146,0.012,9.0,2.25,9.2
2015-04-08,DE_KN_residential2,0.0,Pure Cost,0.188,0.0,0.0,2.25,9.8
2015-04-08,DE_KN_residential2,0.005,Tiny Pref,0.195,0.007,3.9,2.25,7.5
2015-04-08,DE_KN_residential2,0.01,Small Pref,0.195,0.007,3.9,2.25,7.2
2015-04-08,DE_KN_residential2,0.02,Low Pref,0.195,0.007,4.0,2.25,6.2
2015-04-08,DE_KN_residential2,0.025,Medium Pref,0.195,0.007,4.0,2.25,6.2
2015-04-08,DE_KN_residential2,0.035,High Pref,0.195,0.007,4.0,2.25,6.2
2015-04-08,DE_KN_residential2,0.045,Very High Pref,0.197,0.009,4.9,2.25,9.2
2015-04-08,DE_KN_residential2,0.05,Max Pref,0.197,0.009,4.9,2.25,9.2
2015-04-09,DE_KN_residential2,0.0,Pure Cost,0.202,0.0,0.0,2.25,8.5
2015-04-09,DE_KN_residential2,0.005,Tiny Pref,0.202,0.0,0.0,2.25,8.8
2015-04-09,DE_KN_residential2,0.01,Small Pref,0.217,0.015,7.4,2.25,7.2
2015-04-09,DE_KN_residential2,0.02,Low Pref,0.217,0.015,7.5,2.25,6.2
2015-04-09,DE_KN_residential2,0.025,Medium Pref,0.217,0.015,7.5,2.25,6.2
2015-04-09,DE_KN_residential2,0.035,High Pref,0.217,0.015,7.5,2.25,6.2
2015-04-09,DE_KN_residential2,0.045,Very High Pref,0.217,0.015,7.5,2.25,6.2
2015-04-09,DE_KN_residential2,0.05,Max Pref,0.219,0.017,8.6,2.25,9.2
2015-04-10,DE_KN_residential2,0.0,Pure Cost,0.128,0.0,0.0,2.25,15.8
2015-04-10,DE_KN_residential2,0.005,Tiny Pref,0.128,0.0,0.0,2.25,15.8
2015-04-10,DE_KN_residential2,0.01,Small Pref,0.166,0.038,29.4,2.25,12.2
2015-04-10,DE_KN_residential2,0.02,Low Pref,0.169,0.041,31.9,2.25,12.0
2015-04-10,DE_KN_residential2,0.025,Medium Pref,0.17,0.042,33.1,2.25,9.2
2015-04-10,DE_KN_residential2,0.035,High Pref,0.17,0.042,33.1,2.25,9.2
2015-04-10,DE_KN_residential2,0.045,Very High Pref,0.17,0.042,33.1,2.25,9.2
2015-04-10,DE_KN_residential2,0.05,Max Pref,0.17,0.042,33.1,2.25,9.2
2015-04-11,DE_KN_residential2,0.0,Pure Cost,0.107,0.0,0.0,2.25,5.8
2015-04-11,DE_KN_residential2,0.005,Tiny Pref,0.107,0.0,0.0,2.25,5.8
2015-04-11,DE_KN_residential2,0.01,Small Pref,0.115,0.008,7.3,2.25,6.0
2015-04-11,DE_KN_residential2,0.02,Low Pref,0.126,0.019,17.5,2.25,9.2
2015-04-11,DE_KN_residential2,0.025,Medium Pref,0.126,0.019,17.5,2.25,9.2
2015-04-11,DE_KN_residential2,0.035,High Pref,0.126,0.019,17.5,2.25,9.2
2015-04-11,DE_KN_residential2,0.045,Very High Pref,0.126,0.019,17.5,2.25,9.2
2015-04-11,DE_KN_residential2,0.05,Max Pref,0.126,0.019,17.5,2.25,9.2
2015-04-12,DE_KN_residential2,0.0,Pure Cost,0.058,0.0,0.0,2.25,6.0
